Account length,International plan,Voice mail plan,Number vmail messages,Total day minutes,Total day calls,Total eve minutes,Total eve calls,Total night minutes,Total night calls,Total intl minutes,Total intl calls,Customer service calls,Total minutes,Total calls,Avg call minutes,Prc day minutes,Prc eve minutes,Prc night minutes,Prc intl minutes,State_AK,State_AL,State_AR,State_AZ,State_CA,State_CO,State_CT,State_DC,State_DE,State_FL,State_GA,State_HI,State_IA,State_ID,State_IL,State_IN,State_KS,State_KY,State_LA,State_MA,State_MD,State_ME,State_MI,State_MN,State_MO,State_MS,State_MT,State_NC,State_ND,State_NE,State_NH,State_NJ,State_NM,State_NV,State_NY,State_OH,State_OK,State_OR,State_PA,State_RI,State_SC,State_SD,State_TN,State_TX,State_UT,State_VA,State_VT,State_WA,State_WI,State_WV,State_WY,Area code_408,Area code_415,Area code_510,Churn
168,0,0,0,128.8,96,104.9,71,141.1,128,11.2,2,1,386.0,297,1.2996632996632997,0.333678756476684,0.2717616580310881,0.3655440414507772,0.029015544041450774,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
95,0,0,0,156.6,88,247.6,75,192.3,115,12.3,5,3,608.8,283,2.151236749116608,0.25722733245729307,0.4067017082785808,0.31586727989487523,0.02020367936925099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
62,0,0,0,120.7,70,307.2,76,203.0,99,13.1,6,4,644.0,251,2.5657370517928286,0.18742236024844722,0.47701863354037266,0.31521739130434784,0.020341614906832298,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
85,0,1,27,196.4,139,280.9,90,89.3,75,13.8,4,1,580.3999999999999,308,1.8844155844155839,0.33838731909028263,0.48397656788421783,0.15385940730530673,0.023776705720192977,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
93,0,0,0,190.7,114,218.2,111,129.6,121,8.1,3,3,546.6,349,1.566189111747851,0.3488840102451518,0.39919502378338817,0.23710208562019758,0.014818880351262349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
76,0,1,33,189.7,66,212.8,65,165.7,108,10.0,5,1,578.2,244,2.3696721311475413,0.3280871670702179,0.36803874092009686,0.28657903839501897,0.017295053614666205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
73,0,0,0,224.4,90,159.5,88,192.8,74,13.0,2,1,589.7,254,2.321653543307087,0.3805324741393929,0.2704765134814312,0.3269459046973037,0.022045107681872136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
147,0,0,0,155.1,117,239.7,93,208.8,133,10.6,4,0,614.1999999999999,347,1.7700288184438038,0.2525236079452947,0.39026375773363725,0.3399544122435689,0.017258222077499188,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
77,0,0,0,62.4,89,169.9,121,209.6,64,5.7,6,5,447.59999999999997,280,1.5985714285714285,0.13941018766756033,0.3795799821268991,0.4682752457551385,0.012734584450402146,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
130,0,0,0,183.0,112,72.9,99,181.8,78,9.5,19,0,447.20000000000005,308,1.451948051948052,0.40921288014311263,0.16301431127012522,0.40652951699463324,0.0212432915921288,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
132,0,0,0,81.1,86,245.2,72,237.0,115,10.3,2,0,573.5999999999999,275,2.0858181818181816,0.14138772663877266,0.4274755927475593,0.4131799163179917,0.017956764295676435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
174,0,0,0,124.3,76,277.1,112,250.7,115,15.5,5,3,667.6,308,2.1675324675324674,0.18618933493109646,0.41506890353505094,0.3755242660275614,0.02321749550629119,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
57,0,1,39,213.0,115,191.1,112,182.7,115,9.5,3,0,596.3,345,1.728405797101449,0.3572027502934765,0.32047627033372467,0.3063894013080664,0.01593157806473252,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
54,0,0,0,134.3,73,155.5,100,102.1,68,14.7,4,3,406.59999999999997,245,1.6595918367346938,0.3303000491883916,0.38243974422036403,0.2511067388096409,0.03615346778160354,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
20,0,0,0,190.0,109,258.2,84,181.5,102,6.3,6,0,636.0,301,2.1129568106312293,0.29874213836477986,0.40597484276729556,0.28537735849056606,0.00990566037735849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
142,0,0,0,84.8,95,136.7,63,250.5,148,14.2,6,2,486.2,312,1.5583333333333333,0.174413821472645,0.2811600164541341,0.5152200740436035,0.029206088029617442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
75,0,0,0,226.1,105,201.5,107,246.2,98,10.3,5,1,684.0999999999999,315,2.1717460317460313,0.3305072357842421,0.2945475807630464,0.3598889051308289,0.015056278321882768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
172,0,0,0,212.0,121,31.2,115,293.3,78,12.6,10,3,549.1,324,1.694753086419753,0.3860863230741213,0.05682025132034237,0.5341467856492442,0.022946639956292113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
12,0,0,0,249.6,118,252.4,119,280.2,90,11.8,3,1,794.0,330,2.4060606060606062,0.31435768261964736,0.3178841309823678,0.352896725440806,0.014861460957178841,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
57,0,1,25,176.8,94,195.0,75,213.5,116,8.3,4,0,593.5999999999999,289,2.0539792387543248,0.29784366576819415,0.3285040431266847,0.35966981132075476,0.01398247978436658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
72,0,1,37,220.0,80,217.3,102,152.8,71,14.7,6,3,604.8000000000001,259,2.3351351351351353,0.3637566137566137,0.359292328042328,0.2526455026455026,0.024305555555555552,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
78,0,0,0,130.8,64,223.7,116,227.8,108,10.0,5,1,592.3,293,2.0215017064846417,0.22083403680567285,0.3776802296133716,0.384602397433733,0.01688333614722269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
136,1,1,33,203.9,106,187.6,99,101.7,107,10.5,6,3,503.7,318,1.5839622641509434,0.40480444709152275,0.372443915028787,0.20190589636688505,0.02084574151280524,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
149,0,0,0,140.4,94,271.8,92,188.3,108,11.1,9,1,611.6,303,2.0184818481848184,0.22956180510137345,0.44440810987573576,0.3078809679529104,0.01814911706998038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
98,0,0,0,126.3,102,166.8,85,187.8,135,9.4,2,3,490.3,324,1.5132716049382717,0.25759738935345705,0.34019987762594334,0.38303079747093616,0.019171935549663472,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
135,1,1,41,173.1,85,203.9,107,122.2,78,14.6,15,0,513.8,285,1.8028070175438595,0.3369015181004282,0.3968470221876217,0.2378357337485403,0.02841572596340989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
34,0,0,0,124.8,82,282.2,98,311.5,78,10.0,4,2,728.5,262,2.780534351145038,0.17131091283459163,0.38737131091283455,0.42759094028826355,0.013726835964310227,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
160,0,0,0,85.8,77,165.3,110,178.5,92,9.2,4,3,438.8,283,1.550530035335689,0.19553327256153144,0.37670920692798543,0.4067912488605287,0.02096627164995442,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
64,0,0,0,154.0,67,225.8,118,265.3,86,3.5,3,1,648.6,274,2.367153284671533,0.23743447425223557,0.34813444341658956,0.40903484427998765,0.005396238051187172,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
59,0,1,28,120.9,97,213.0,92,163.1,116,8.5,5,2,505.5,310,1.6306451612903226,0.23916913946587537,0.42136498516320475,0.32265084075173095,0.016815034619188922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
142,0,0,0,187.0,133,134.6,74,242.2,127,7.4,5,2,571.1999999999999,339,1.6849557522123892,0.32738095238095244,0.23564425770308126,0.4240196078431373,0.012955182072829134,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
97,0,1,24,133.2,135,217.2,58,70.6,79,11.0,3,1,432.0,275,1.5709090909090908,0.3083333333333333,0.5027777777777778,0.16342592592592592,0.02546296296296296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
52,0,0,0,191.9,108,269.8,96,236.8,87,7.8,5,3,706.3,296,2.3861486486486485,0.271697578932465,0.3819906555288122,0.3352682995894096,0.011043465949313323,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
60,0,0,0,220.6,57,211.1,115,249.0,129,6.8,3,1,687.5,304,2.2615131578947367,0.32087272727272725,0.30705454545454547,0.36218181818181816,0.00989090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
96,0,0,0,160.2,117,267.5,67,228.5,68,9.3,5,2,665.5,257,2.5894941634241246,0.2407212622088655,0.4019534184823441,0.34335086401202103,0.013974455296769347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
87,0,0,0,151.0,83,219.7,116,203.9,127,9.7,3,5,584.3000000000001,329,1.775987841945289,0.258428889269211,0.3760054766387129,0.34896457299332534,0.01660106109875064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1
81,0,0,0,175.5,67,249.3,85,270.2,98,10.2,3,1,705.2,253,2.787351778656127,0.24886557005104934,0.353516732841747,0.3831537152580828,0.014463981849120814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
141,0,0,0,126.9,98,180.0,62,140.8,128,8.0,2,1,455.7,290,1.5713793103448275,0.2784726793943384,0.39499670836076367,0.3089752029844196,0.017555409260478386,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
121,0,1,30,198.4,129,75.3,77,181.2,77,5.8,3,3,460.7,286,1.6108391608391608,0.4306490123724767,0.16344692858693294,0.39331452138050793,0.012589537660082483,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
125,0,0,0,229.3,103,177.4,126,189.3,95,12.0,8,1,608.0,332,1.8313253012048192,0.37713815789473687,0.2917763157894737,0.31134868421052636,0.019736842105263157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
174,0,0,0,192.1,97,169.9,94,166.6,54,11.4,4,1,540.0,249,2.1686746987951806,0.35574074074074075,0.31462962962962965,0.3085185185185185,0.021111111111111112,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
116,0,1,34,268.6,83,178.2,142,166.3,106,11.6,3,2,624.7,334,1.870359281437126,0.42996638386425484,0.2852569233231951,0.26620777973427245,0.01856891307827757,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
149,0,1,28,180.7,92,187.8,64,265.5,53,12.6,3,3,646.6,212,3.0500000000000003,0.27946180018558614,0.2904423136405815,0.4106093411691927,0.01948654500463965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
38,0,0,0,131.2,98,162.9,97,159.0,106,8.2,6,2,461.3,307,1.5026058631921824,0.28441361370041185,0.3531324517667462,0.3446780836765662,0.01777585085627574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
40,0,1,41,148.1,74,169.5,88,214.1,102,6.2,5,2,537.9000000000001,269,1.9996282527881044,0.27532998698642863,0.31511433351924145,0.39802937348949613,0.011526306004833611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
43,1,0,0,251.5,105,212.8,104,157.8,67,9.3,4,0,631.4,280,2.255,0.39832119100411784,0.3370288248337029,0.24992081089642068,0.014729173265758634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
113,1,0,0,125.2,93,206.4,119,129.3,139,8.3,8,0,469.20000000000005,359,1.3069637883008358,0.2668371696504689,0.43989769820971864,0.2755754475703325,0.017689684569479967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
126,0,0,0,211.6,70,216.9,80,153.5,60,7.8,1,1,589.8,211,2.7952606635071087,0.35876568328246866,0.36775178026449645,0.2602577144794846,0.013224821973550356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
150,0,0,0,178.9,101,169.1,110,148.6,100,13.8,3,4,510.40000000000003,314,1.6254777070063695,0.3505094043887147,0.33130877742946707,0.2911442006269592,0.027037617554858933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1
138,0,0,0,241.8,93,170.5,83,295.3,104,11.8,7,3,719.4,287,2.5066202090592333,0.33611342785654713,0.23700305810397554,0.410480956352516,0.016402557686961357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
162,0,1,46,224.9,97,188.2,84,254.6,61,12.1,2,0,679.8000000000001,244,2.7860655737704922,0.33083259782288904,0.2768461312150632,0.37452191821123854,0.017799352750809058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
147,0,0,0,248.6,83,148.9,85,172.5,109,8.0,4,3,578.0,281,2.0569395017793592,0.4301038062283737,0.25761245674740485,0.2984429065743945,0.01384083044982699,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
90,0,0,0,203.4,146,226.7,117,152.4,105,7.3,4,1,589.8,372,1.585483870967742,0.3448626653102747,0.3843675822312648,0.25839267548321465,0.012377076975245847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
50,0,0,0,157.1,90,223.3,72,181.4,111,6.1,2,1,567.9,275,2.065090909090909,0.2766332100721958,0.39320302870223633,0.3194224335270294,0.010741327698538475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
82,0,0,0,300.3,109,181.0,100,270.1,73,11.7,4,0,763.1000000000001,286,2.668181818181819,0.39352640545144796,0.2371904075481588,0.3539509893854016,0.015332197614991478,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
144,0,0,0,61.6,117,77.1,85,173.0,99,8.2,7,4,319.9,308,1.0386363636363636,0.1925601750547046,0.24101281650515785,0.5407939981244139,0.025633010315723664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
70,0,0,0,170.2,98,155.2,102,228.6,76,15.0,2,1,569.0,278,2.0467625899280577,0.2991212653778559,0.2727592267135325,0.40175746924428823,0.026362038664323375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
